Name,Affiliations,Affiliation Score
Anya_Razar,"['Knights of Ren', 'First Order']",-1.0
Anyan,Gideon's Imperial remnant,-1.0
Aplek,"['Royal House of Naboo', 'Galactic Republic']",0.5
AP-1982,"['Galactic Empire', ""Chelli Lona Aphra's squad"", 'Squad Dek-Nil', ""University of Bar'leth"", 'Archaeological Association', ""Chelli Lona Aphra's crew"", 'Droid Gotra', 'Son-tuul Pride']",-0.625
Apailana,"['Chiss Ascendancy', 'Irizi family', 'Picket Force Six', 'Senior officer corps']",0.25
Aphra_family,"['Chiss Ascendancy', 'Irizi family']",0.0
Aphra_familys_tooka,New Mandalorians,1.0
Aralani,Alliance to Restore the Republic,1.0
Aralanis_aunt,"['Partisans', ""Arane's partisans""]",1.0
Aramis,[],
Aran_(Elomin),Sturg Ganna,-1.0
Arane_Oreida,"['Galactic Empire', ""Gallius Rax's child soldiers"", 'First Order', 'First Order army', 'Resistance']",-0.6
Arashell_Sar,[],
Arca_Yroca,[],
Archex,"['Galactic Empire', 'Imperial Military']",-1.0
Archexs_father,"['Alliance to Restore the Republic', 'New Republic', 'Fleet Intelligence', 'Temperance battle group']",0.75
Archexs_mother,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Ardo_Banch,[],
Ardo_Barodai,[],
Ardwyl_Hercho,[],
Arek_Emjon,Alderaan Flotilla,1.0
Argin,"['Alliance to Restore the Republic', 'Alliance Military']",1.0
Argus_Panox,"['Alliance to Restore the Republic', 'Red Squadron']",1.0
Argus_Tanzer,"['Galactic Empire', 'Stormtrooper Corps']",-1.0
Arhul_Hextrophon,"['Pryce Mining', 'Higher Skies Advocacy Group', 'Galactic Empire', 'Imperial Officer Corps']",-0.75
Arhul_Narra,Pryce Mining,-1.0
Aric_Nightdrifter,Sixth Kin,0.0
Arihnda_Pryce,[],
Arik_Uvis,Jedi Order,1.0
Ariole_Yu,[],
Ark_ol_Loor,"['Galactic Empire', 'Imperial Starfighter Corps', 'Imperial Security Bureau', 'Amaxine warriors', 'First Order']",-0.6
Ark_Roose,"['Galactic Empire', ""Emperor's Royal Guard""]",-1.0
Arkoff,"['Galactic Republic', 'Senate Bureau of Intelligence', 'Galactic Empire', 'Commission for the Preservation of the New Order']",0.0
Arleil_Schous,"['New Mandalorians', 'Ruling Council']",0.5
Arliz_Hadrassian,"['Hux family', 'Galactic Empire', ""Gallius Rax's child soldiers"", 'First Order', 'Supreme Council', 'Resistance']",-0.6666666666666666
Arliz_Hadrassians_brother,"['First Order', 'First Order military']",-1.0
Armand_Isard,The Smuggler,1.0
Armatan,New Republic,1.0
Armitage_Hux,"['Hutt Clan', 'Grand Hutt Council']",0.0
Armitage_Huxs_First_Order_monitor,[],
Arno_Xan,[],
Aro_Ncookaala,"['Alliance to Restore the Republic', 'Rebel Marines', 'Rogue One']",1.0
Arok,"['Galactic Empire', '204th Imperial Fighter Wing']",-1.0
Arra_Somori,"['Galactic Republic', 'Office of the Chancellor', 'Galactic Empire', 'Imperial Ruling Council']",0.0
Arrax,New Republic,1.0
Arro_Basteren,[],
Arron,Black Spire Outfitters,1.0
Ars_Dangor,"['Mon Cala monarchy', 'Mon Calamari Knights', ""Berch Teller's rebel cell""]",1.0
Arsad,"['Galactic Empire', 'Nashtah Squadron']",-1.0
Arsha_Lome,"['Thyferran bacta cartel', 'Alliance to Restore the Republic', 'Green Squadron']",0.6666666666666666
Arta_Kleidun,Nightbrothers,-1.0
Artoz,"['Jedi Order', 'Sith', 'Confederacy of Independent Systems', 'Nightsisters', ""Krayt's Claw""]",-0.2
Artur_Essada,Nightsisters,-1.0
Arvel_Crynyd,"['Nihil', ""Lourna Dee's Tempest""]",-1.0
Arzo_Suun,New Republic,1.0
Asajj_Ventress,"['Galactic Empire', 'Stormtrooper Corps']",-1.0
Asajj_Ventresss_mother,"['Bright Tree tribe', 'Alliance to Restore the Republic']",1.0
Asaria,"['Jedi Order', 'Bear Clan']",1.0
Asera,Ashu,1.0
Ash-Streak,"['Galactic Republic', 'Malastare delegation', 'Loyalist Committee']",0.0
Asha_Fahn,[],
Ashes,"['Confederacy of Independent Systems', 'Galactic Empire']",-0.5
Ashla_(Jedi),[],
Ashu,"['Confederacy of Independent Systems', 'Zygerrian Slave Empire']",-0.5
Ashu-Nyamal,[],
Ask_Aak,"['Alliance to Restore the Republic', 'Rebel Alliance Intelligence Service']",1.0
Askroh,[],
Astarte_line,[],
Astrid_Fenris,"['Nihil', ""Lourna Dee's Tempest""]",-1.0
Atai_Molec,Jabba Desilijic Tiure's criminal empire,-1.0
Atenna_Olypo,Chewbacca's family,1.0
Athex,"['Galactic Empire', 'Alliance to Restore the Republic', 'Green Squadron']",0.3333333333333333
Athgar_Heece,Haxion Brood,0.0
Attabura,"['Galactic Empire', 'Stormtrooper Corps']",-1.0
Attaman,Alliance to Restore the Republic,1.0
Attark,Visitors,1.0
Attichitcuk,[],
Attico_Wred,Unidentified escape pod salvage compan,0.0
Atticus_Rex,Graf family,1.0
Atty,[],
Au_Bree,Cloud-Riders,1.0
Auk-Waimanu,"[""Cad Bane's group"", 'Hutt Clan', ""Krayt's Claw""]",0.0
Aurelant,"['Alliance to Restore the Republic', 'New Republic']",1.0
Aurelants_brother,"['Jedi Order', 'Galactic Republic']",1.0
Auric_Graf,"['First Order', 'First Order starfighter corps']",-1.0
Aurodia_Ventafoli,Resistance,1.0
Auromae_Iselo,Starros clan,1.0
Aurra_Sing,[],
Auxi_Kray_Korbin,Alliance to Restore the Republic,1.0
Avar_Kriss,First Order ,-1.0
Avenger_(pilot),"['Galactic Republic', 'Blue Squadron']",1.0
Avga_Rosene,"['Mandalorians', 'Mandalorian resistance']",0.5
Avon_Starros,[],
Awan_Zek,"['Galactic Empire', ""Imperial Navy's officer corps"", 'Imperial Starfighter Corps']",-1.0
Awls_Ooteek,Hat Lo,0.0
Ax_Tagrin,"['Chiss Ascendancy', 'Chiss Expansionary Defense Fleet']",0.0
Axe_(clone_trooper),[],
Axe_Woves,[],
Aya-Glon,Nessin Courier & Cargo,0.0
Aydn_Boship,[],
Ayy_Vida,"['Chiss Ascendancy', 'Defense Hierarchy Council', 'Chiss Defense Force']",0.0
Azmordi,"['New Republic', 'Galactic Senate']",1.0
Azmorigan,Graballa,0.0
Azool_Phantelle,"['Spice Runners of Kijimi', ""Citizens' fleet""]",0.5
Azzur_Nessin,Confederacy of Independent Systems,0.0
Basia,"['Alliance to Restore the Republic', 'Ordnance and Supply', 'Massassi Group']",1.0
Bakif,"['First Order', 'First Order Special Forces', 'First Order starfighter corps']",-1.0
Baako_Moradi,"['Galactic Empire', 'Black Squadron']",-1.0
Baash,Haxion Brood,0.0
Babu_Frik,"['Alliance to Restore the Republic', 'The Smuggler']",1.0
Babwa_Venomor,"['Galactic Republic', 'Alderaanian delegation']",1.0
Baccam_Grafis,Blythe family,1.0
Backdraft,"['Jedi Order', 'Force Builders']",1.0
Backstabber,"['Jedi Order', 'Jedi assault team', 'Galactic Republic']",1.0
Bad_Fran,[],
Baela_Tiwosh,Opposition,1.0
Bail_Antilles,"['New Republic', 'Shepherd Squadron']",1.0
Bailen_Blythe,Guavian Death Gang,-1.0
Baird_Kantoo,"['Galactic Republic', 'Galactic Empire', ""Imperial Navy's officer corps"", 'Third Fleet']",-0.5
Bairdon_Jace,Claw,0.0
Baj,Corellian Engineering Corporation,0.0
Bajjo,[],
Bak_Rychuk,"['Galactic Republic', 'Delegation of 2', '000']",0.6666666666666666
Bala-Tik,"['Alliance to Restore the Republic', 'Alliance Starfighter Command', 'Massassi Group']",1.0
Balanhai_Savit,[],
Balder,[],
Ballia_Noaddo,[],
Bam_Teel,White Worms,-1.0
Bana_Breemu,"['Galactic Empire', 'Carida Academy', 'Squadron Five']",-1.0
Bandwin_Cor,Jedi Order,1.0
Baniss_Keeg,[],
Bannamu,Jabba Desilijic Tiure's criminal empire,-1.0
Banny,"['Galactic Empire', ""Yrica Quell's squadron""]",0.0
Bansee,Ohnaka Gang,0.0
Bansu_Ro,"['Galactic Empire', 'Imperial Navy']",-1.0
Bant_Eerin,Partisans,1.0
Bar_the_Rotter,Canto Casino and Racetrack,0.0
Barada,"['Alliance to Restore the Republic', 'Blue Squadron']",1.0
Barath,"['First Order', 'Kijimi garrison']",-1.0
Barb_Mentir,"['Galactic Empire', ""Barokki's division"", 'Imperial Officer Corps']",-1.0
Barcel,[],
Bardbee,"['Max Rebo Band', ""Jabba Desilijic Tiure's criminal empir""]",0.0
Bargwill_Tomder,"['Galactic Empire', 'Imperial Security Bureau']",-1.0
Barion_Raner,"['Jedi Order', 'Jedi assault team', 'Galactic Republic', 'Grand Army of the Republic']",1.0
Barok,"['Galactic Republic', 'Galactic Republic Navy', 'Galactic Empire', ""Imperial Navy's officer corps""]",0.0
Barokki,"['First Order', 'First Order military']",-1.0
Barpa,[],
Barquin_Dan,"['Gran Protectorate', 'Galactic Republic', 'Malastare delegation']",0.6666666666666666
Barrisk_Favvin,Kendoh Gang,0.0
Barriss_Offee,"['Resistance', 'Red Squadron']",1.0
Barrow_Oicunn,[],
Barrut,Cloud-Riders,1.0
Bartol,[],
Baskol_Yeesrim,Gorben Fra,0.0
Basso_Mak,"['Galactic Empire', 'Imperial Senate', 'Pyke Syndicate']",-1.0
Bastian,"['Galactic Empire', ""Imperial Navy's officer corps""]",-1.0
Basz,"['Guardians of the Whills', 'Partisans', 'Alliance to Restore the Republic', 'Rogue One']",1.0
Batcha_Hunaris,Delphi Kloda's combat school,0.0
Bathari,Kkkt's clan,0.0
Batik,"['Resistance', 'Resistance Intelligence', 'Resistance army', 'Exegol landing team']",1.0
Baxin_Winstoll,"['Confederacy of Independent Systems', 'Separatist Senate']",0.0
Baz,Junior Academy of Applied Sciences,-1.0
Baze_Malbus,Resistance,1.0
Bazine_Netal,"['Galactic Empire', 'Alliance to Restore the Republic']",0.0
Bbbl,Jabba Desilijic Tiure,0.0
Beaumont_Kin,[],
Bec_Lawise,[],
Beck_Ollet,Partisans,1.0
Beckles,"['Galactic Empire', 'Imperial Military', 'Imperial Officer Corps']",-1.0
Becky_Smoochenbacher,[],
Beedo,"['Galactic Empire', 'Carida Academy', 'Carida Squadron', 'Imperial Officer Corps', ""Bounty Hunters' Guild""]",-0.8
BeeLee_Amdas,[],
Beena,"['Resistance', 'Resistance navy']",1.0
Beezer_Fortuna,"['New Republic', 'New Republic Security Bureau', 'Spice Runners of Kijimi']",0.6666666666666666
Befa,"['Galactic Republic', ""Fil's squad""]",1.0
Begaral_Moghare,"['Alliance to Restore the Republic', 'Red Squadron']",1.0
Beilert_Valance,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Beilert_Valances_father,"['Nihil', ""Lourna Dee's Tempest""]",-1.0
Bek,"['Galactic Empire', 'Imperial Army', 'Imperial Officer Corps', 'Free Ryloth Movement']",-0.5
Beke_Monz,Jedi Order,1.0
Bel,"['First Order', 'Supreme Council']",-1.0
Bela_Elar,Jamie Brasen's crime syndicate,0.0
Beldin,"['Galactic Republic', '501st Legion']",1.0
Belial,[],
Belkor_Dray,"['Solo family', 'Skywalker family', 'Elder Houses', 'House of Organa', 'Jedi Order', 'Knights of Ren', 'First Order']",0.2857142857142857
Bell_Zettifar,"['Resistance', 'Crimson Squadron']",1.0
Bellava_Parnadee,[],
Bellon,The Force,1.0
Bellow,Jedi Order,1.0
Ben_Quadinaros,[],
Ben_Solo,"['Galactic Empire', 'Defender Squadron One']",-1.0
Ben_Teene,"['Cloud-Riders', 'Partisans']",1.0
Bendoh,De'Rruyet Industries,0.0
Bendu,Alderaan Flotilla,1.0
Bene,[],
Beneda,"['Galactic Republic', 'Republic Intelligence', 'Galactic Empire', 'Imperial Intelligence', ""Berch Teller's rebel cell""]",0.2
Benj_Dobbs,"['Galactic Empire', 'Imperial Military', 'Imperial Officer Corps']",-1.0
Benthic,"['Galactic Empire', 'Death Squadron', ""Imperial Navy's officer corps""]",-1.0
Beol_DeRruyet,[],
Beon_Beonel,[],
Beppi,Lars family,1.0
Berch_Teller,"['Galactic Empire', 'Imperial Navy', 'Imperial Officer Corps']",-1.0
Bergon,[],
Berisse_Sai,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Berk,[],
Berka,Cha family,-1.0
Beru_Whitesun_Lars,"['Fortuna family', ""Jabba Desilijic Tiure's criminal empire""]",0.0
Bethava_Rocwyn,[],
Bev_Plar,[],
Bewil,[],
Beytolim,Jedi Orde,1.0
Bhada_Cha,[],
Bib_Fortuna,[],
Bibvena,[],
Bibvenas_mother,"['Galactic Republic', ""Depa Billaba's battalion"", ""Depa Billaba's second battalion""]",1.0
Bibo,"['Galactic Empire', 'Prefsbelt Fleet Camp', 'Alliance to Restore the Republic', 'Red Squadron']",0.0
Bibos_mother,[],
Bibs,Partisans,1.0
Bidvel,[],
Big_Bongo,Creature Stall,0.0
Big_String,Haxion Brood,0.0
Big-Mouth,"['Galactic Empire', 'Imperial Officer Corps']",-1.0
Biggs_Darklighter,[],
Biggs_Darklighters_mother,HoloNet News,0.0
Bilder,[],
Bilk_Plessey,"['Galactic Empire', 'Stormtrooper Corps', ""Ubrik Adelhard's Imperial remnant""]",-1.0
Bina,"['Alliance to Restore the Republic', 'Massassi Group', 'Rebel Alliance Special Forces']",1.0
Bing,Red Key Raiders,0.0
Bink_Otauna,[],
Biran_Redben,Cobalt Laborers' Reformation Front,0.0
Birt,[],
Bishta,[],
Bisk,"['Alliance to Restore the Republic', 'Galactic Empire', 'Imperial Military']",-0.3333333333333333
Bistan,"['Xonti Brothers', ""Jabba Desilijic Tiure's criminal empire"", ""Chelli Lona Aphra's crew""]",-0.6666666666666666
Bitey,"['Galactic Republic', 'Grand Army of the Republic']",1.0
Bivvam_Gorge,"['First Order', 'First Order starfighter corps']",-1.0
Bixene,"['Galactic Empire', 'Imperial Academy', 'Imperial Intelligence', 'Inquisitorius']",-1.0
Biyel_Broan,"['Galactic Empire', 'Imperial Army']",-1.0
Biz,"['Alliance to Restore the Republic', 'Alliance Military']",1.0
Bizu,[],
BK-298,[],
Black_Krrsantan,[],
Blackout,Unidentified gladiatorial arena,0.0
Blackout_(TIE_Silencer_test_pilot),"['Galactic Republic', 'Rancor Battalion']",1.0
Blaise_Zirkonn,"['BSO 401.72', ""Oga's Cantina""]",0.0
Blanaid,"['Alliance to Restore the Republic', 'Alliance Military']",1.0
Blanch_Sproull,[],
Blass_Tyran,[],
Blawz,"['Resistance', 'Blue Squadron']",1.0
Bleary,"['Alliance to Restore the Republic', 'Blue Squadron']",1.0
Blik_(Tarsunt),[],
Blitz,[],
Blom_Groffitch,"['Galactic Empire', 'Stormtrooper Corps', 'Lothal garrison']",-1.0
Blount,[],
Bludlow,Ace Squadron,1.0
Blue_(Devaronian),"['Resistance', 'Exegol landing team']",1.0
Blue_Five_(Batuu),"['Death Watch', 'Nite Owls', 'Shadow Collective', 'Mandalore resistance', 'Mandalorian resistance']",0.2
Blue_Leader_(Vrogas_Vas),"['Chiss Ascendancy', 'Nine Ruling Families']",0.0
Blysto_Noxton,"['Chiss Ascendancy', 'Boadil family']",0.0
Blythe_family,"['Alliance to Restore the Republic', 'Massassi Group', 'Alliance High Command']",1.0
BN-749,"['Confederacy of Independent Systems', ""Krayt's Claw"", ""Jabba Desilijic Tiure's criminal empire"", ""Bounty Hunters' Guild"", 'Galactic Empire']",-0.4
Bo_Bahaahaa,[],
Bo_Keevil,[],
Bo_Rogiave,"['Galactic Empire', 'Alliance to Restore the Republic', 'Rogue One']",0.3333333333333333
Bo-Katan_Kryze,[],
Boadil_family,[],
Boadilpargasoi,[],
Bob_Hudsol,[],
Boba_Fett,Wreckers,0.0
Bobbajo,"['Galactic Republic', 'Ghost Company']",1.0
Boddee_family,[],
Bodhi_Rook,Partisans,1.0
Bodhi_Rooks_mother,"['Galactic Empire', '224th Imperial Armored Division']",-1.0
Bodo_Linx,Starhowl Pirates,0.0
Boga,"['Galactic Empire', '224th Imperial Armored Division', 'Imperial Officer Corps']",-1.0
Bogey_(Kwazel_Maw),[],
Bogg_Tyrell,[],
Bohento_Splinth,[],
Boil,"['Jedi Order', 'Galactic Republic', 'Grand Army of the Republic']",1.0
Bok_Askol,"['Resistance', 'Resistance ground crew']",1.0
Bokk_Naarg,"['Galactic Empire', 'Imperial Navy']",-1.0
Bokret_Humphreys,[],
Bokwarro,[],
Bolandin,Alliance to Restore the Republic ,1.0
Boles_Roor,Canto Bight racetrack,0.0
Bolin_Volfrham,[],
Bolivar_Denai,"['Galactic Empire', 'Audit Division']",-1.0
Bolla_Ropal,House of Organa,1.0
Bollie_Prindel,"['Resistance', 'Sinta Glacier Colony']",0.5
Bolvan,[],
Bolza_Grool,Cadevon Family,0.0
Bom_Vimdin,"['Galactic Republic', '104th Battalion']",1.0
Bon_Yoth,Partisans,1.0
Bonadan_Star,Galactic Empire,-1.0
Bondeeni,[],
Bondeenis_cousin,[],
Bonipa,[],
Boolio,[],
Boonta_Hestilic_Shadruu,Power Sliders,0.0
Boorgo_Cadevon,[],
Boost,Alderaan Enclave,1.0
Bor_Gullet,[],
Bor_Ifriem,[],
Borbig_Drob,[],
Borbin_Todds,"['Hetzalian government', ""Hetzal's security division""]",0.0
Borgin_Kaa,Alliance to Restore the Republic,1.0
Borgo,[],
Borkus,[],
Borkus_(Trandoshan),[],
Bornae,[],
Bors,"['Galactic Republic', 'Delta Squad']",1.0
Bort,"[""Bounty Hunters' Guild"", ""Krayt's Claw"", 'A Trandoshan posse', 'Galactic Empire']",-0.25
Borts_daughter,Alliance to Restore the Republic,1.0
Borta,Black Sun,-1.0
Borvo_(Human),"['Galactic Empire', 'Imperial Security Bureau']",-1.0
Borzul,"['Galactic Republic', 'Galactic Empire', 'Imperial Security Bureau']",-0.3333333333333333
Boscoface,[],
BoShek,Jabba Desilijic Tiure,0.0
Boshti_Anilee,Brotherhood of Wire and Bone,0.0
Boss_(clone_commando),Strus clanBrana's mercenary grou,0.0
Bossk,"['Alliance to Restore the Republic', '61st Mobile Infantry', 'New Republic', '61st Mobile Infantry']",1.0
Bot_(Duros),"['First Order', 'First Order military']",-1.0
Boushh,[],
Bozeden_Jeems,"['New Republic', 'Galactic Senate']",1.0
Bracchia,"['First Order', 'Stormtrooper Corps', ""Bray's cleaning crew""]",-0.6666666666666666
Braconnor_Bakiska,"['Galactic Empire', 'Alliance to Restore the Republic', 'Blade Squadron', 'New Republic', 'Blade Squadron']",0.6
Brainee,Galactic Empire,-1.0
Braket_Twelve-Twelve,"['Elder Houses', 'House of Organa', 'Alliance to Restore the Republic']",0.6666666666666666
Brana_Tsaro,[],
Brand,[],
Branwayne_Spiftz,"['Galactic Empire', 'Onoam mine']",-0.5
Brask,"['Alliance to Restore the Republic', 'Rebel Alliance Intelligence Service', 'Endor strike team']",1.0
